"gene_id","SRR5206993_rsem.genes.csv","SRR5206994_rsem.genes.csv","SRR5206995_rsem.genes.csv","SRR5206996_rsem.genes.csv","SRR5206997_rsem.genes.csv","SRR5207019_rsem.genes.csv","SRR5207020_rsem.genes.csv","SRR5207021_rsem.genes.csv","SRR5207022_rsem.genes.csv","SRR5207023_rsem.genes.csv"
"b0201",0,0,0,0.67,1.25,496.29,511.17,1239.85,1312.8,430
"b0202",0,0,0,0,0,0,0,0,0,0
"b0203",0,0,0,0,0,0,0,0,0,0
"b0204",83.58,35.4,0.17,0.5,0,1311.71,1308.69,3164.21,3183.98,1096.04
"b0205",0,0.5,0,0,0,7.03,7.27,7.5,10.3,1.25
"b0206",0,0,0,0,0,0,0,0,0,0
"b0216",0,0,0,0,0,0,0,0,0,0
"b0244",0,0,0,0,0,0,0,0,0,0
"b0455",107,116,0,0,0,34,35,62,46,69
"b0536",0,0,0,0,0,0,0,0,0,0
"b0664",0,0,0,0,0,0,0,0,0,0
"b0665",0,0,0,0,0,0,0,0,0,0
"b0666",0,0,0,0,0,0,0,0,0,0
"b0668",0,0,0,0,0,0,0,0,0,0
"b0670",0,0,0,0,0,0,0,0,0,0
"b0672",0,0,0,0,0,0,0,0,0,0
"b0673",0,0,0,0,0,0,0,0,0,0
"b0743",0,0,0,0,0,0,0,0,0,0
"b0744",0,0,0,0,0,0,0,0,0,0
"b0745",0,0,0,0,0,0,0,0,0,0
"b0746",0,0,0,0,0,0,0,0,0,0
"b0747",0,0,0,0,0,0,0,0,0,0
"b0748",0,0,0,0,0,0,0,0,0,0
"b0749",0,0,0,0,0,0,0,0,0,0
"b0883",0,0,0,0,0,0,0,0,0,0
"b0971",0,0,0,0,0,0,0,0,0,0
"b1032",0,0,0,0,0,0,0,0,0,0
"b1230",0,0,0,0,0,0,0,0,0,0
"b1231",0,0,0,0,0,0,0,0,0,0
"b1574",0,0,0,0,0,0,0,0,0,0
"b1665",0,0,0,0,0,0,0,0,0,0
"b1666",0,0,0,0,0,0,0,0,0,0
"b1909",0,0,0,0,0,0,0,0,0,0
"b1910",0,0,0,0,0,0,0,0,0,0
"b1911",0,0,0,0,0,0,0,0,0,0
"b1954",0,0,0,0,0,0,0,0,0,0
"b1975",0,0,0,0,0,0,0,0,0,0
"b1977",0,0,0,0,0,0,0,0,0,0
"b1984",0,0,0,0,0,0,0,0,0,0
"b1986",0,0,0,0,0,0,0,0,0,0
"b1989",0,0,0,0,0,0,0,0,0,0
"b2189",0,0,0,0,0,0,0,0,0,0
"b2348",0,0,0,0,0,0,0,0,0,0
"b2396",0,0,0,0,0,0,0,0,0,0
"b2397",0,0,0,0,0,0,0,0,0,0
"b2401",0,0,0,0,0,0,0,0,0,0
"b2402",0,0,0,0,0,0,0,0,0,0
"b2403",0,0,0,0,0,0,0,0,0,0
"b2404",0,0,0,0,0,0,0,0,0,0
"b2588",0,0.5,0,0,0,7.03,7.27,7.5,10.3,1.25
"b2589",0.21,0.26,0.17,0.5,0,0.18,0.27,0.53,0.52,0.18
"b2590",0,0,0,0,0,0,0,0,0,0
"b2591",8.21,6.11,0,0,0,1537.02,1521.49,4202.5,4138.36,1397.33
"b2621",18448,15602,1,4,3,25618,25027,22150,21901,26342
"b2652",0,0,0,0,0,0,0,0,0,0
"b2691",0,0,0,0,0,0,0,0,0,0
"b2692",0,0,0,0,0,0,0,0,0,0
"b2693",0,0,0,0,0,0,0,0,0,0
"b2694",0,0,0,0,0,0,0,0,0,0
"b2695",0,0,0,0,0,0,0,0,0,0
"b2814",0,0,0,0,0,0,0,0,0,0
"b2815",0,0,0,0,0,0,0,0,0,0
"b2816",0,0,0,0,0,0,0,0,0,0
"b2864",0,0,0,0,0,0,0,0,0,0
"b2911",2659,1018,1,10,12,507,482,1043,999,822
"b2967",0,0,0,0,0,0,0,0,0,0
"b3069",0,0,0,0,0,0,0,0,0,0
"b3123",1066,737,0,1,2,480,470,653,639,1124
"b3171",0,0,0,0,0,0,0,0,0,0
"b3174",0,0,0,0,0,0,0,0,0,0
"b3272",0,0,0,0,0,10.89,6.93,10.98,15.81,3
"b3273",0,0,0,0,0,0,0,0,0,0
"b3274",0,0.5,0,0,0,7.03,7.27,7.5,10.3,1.25
"b3275",9.38,5.77,0.17,0,0,108.28,85.6,316.01,266.24,76.56
"b3276",0,0,0,0,0,0,0,0,0,0
"b3277",0,0,0,0,0,0,0,0,0,0
"b3278",0,0,0.5,0.29,0,0.27,0.03,80.96,191.87,26.03
"b3545",0,0,0,0,0,0,0,0,0,0
"b3658",0,0,0,0,0,0,0,0,0,0
"b3756",12.45,22.4,0.5,1.05,0,1224.42,1081.13,2989.68,2970.96,966.65
"b3757",0,0,0,0,0,0,0,0,0,0
"b3758",124.18,42.63,0.17,0,6,1347.71,1270.15,3670.79,3812.45,1332.41
"b3759",0,0.5,0,0,0,7.03,7.27,7.5,10.3,1.25
"b3760",0,0,0,0,0,0,0,0,0,0
"b3761",0,0,0,0,0,0,0,0,0,0
"b3796",0,0,0,0,0,0,0,0,0,0
"b3797",0,0,0,0,0,0,0,0,0,0
"b3798",0,0,0,0,0,0,0,0,0,0
"b3799",0,0,0,0,0,0,0,0,0,0
"b3851",0,0,0,0.67,1.25,0,2.17,0,0,0
"b3852",0,0,0,0,0,0,0,0,0,0
"b3853",0,0,0,0,0,0,0,0,0,0
"b3854",2.16,4.85,0,0,0,476.61,511.39,1310.35,1299.08,464.21
"b3855",0,0,0,0,0,0,0,0,0,0
"b3864",258,233,0,0,0,33,51,41,48,76
"b3968",80.67,13.24,0,0.67,1.25,0,0,0,0,0
"b3969",0,0,0,0,0,0,0,0,0,0
"b3970",0.21,0.26,0.17,0.5,0,0.18,0.27,0.53,0.52,0.18
"b3971",0,0,0,0,0,0,0,0,0,0
"b3976",0,0,0,0,0,0,0,0,0,0
"b3977",0,0,0,0,0,0,0,0,0,0
"b3978",0,0,0,0,0,0,0,0,0,0
"b3979",0,0,0,0,0,0,0,0,0,0
"b4007",80.67,13.24,0,0.67,1.25,0,0,0,0,0
"b4008",0,0,0,0,0,0,0,0,0,0
"b4009",30.27,20.82,0.17,0.5,0,979.34,1045.64,2495.58,2435.2,907.43
"b4010",0,0,0,0,0,0,0,0,0,0
"b4134",0,0,0,0,0,0,0,0,0,0
"b4163",0,0,0,0,0,0,0,0,0,0
"b4164",0,0,0,0,0,0,0,0,0,0
"b4165",0,0,0,0,0,0,0,0,0,0
"b4270",0,0,0,0,0,0,0,0,0,0
"b4368",0,0,0,0,0,0,0,0,0,0
"b4369",0,0,0,0,0,0,0,0,0,0
"b4370",0,0,0,0,0,0,0,0,0,0
"b4408",34,87,0,2,1,25,28,10,18,23
"b4413",0,0,0,0,0,0,0,0,0,0
"b4414",10,17,0,0,0,9,5,9,7,4
"b4416",30,36,0,0,0,43,35,112,126,35
"b4417",0,0,0,0,0,0,0,0,0,0
"b4418",10,6,0,0,0,1,0,8,5,3
"b4420",0,0,0,0,0,0,0,0,0,0
"b4422",0,0,0,0,0,0,0,0,0,0
"b4424",0,0,0,0,0,0,0,0,0,0
"b4425",0,0,0,0,0,0,0,0,0,0
"b4426",0,0,0,0,0,0,0,0,0,0
"b4427",0,0,0,0,0,0,0,0,0,0
